ESTADO,CIUDAD,DISTRIBUIDOR,PARROQUIA,MUNICIPIO
Amazonas ,Maroa,⚡ Disbattery 🔴,Victorino,Maroa
Amazonas ,Puerto Ayacucho,⚡ Disbattery 🔴,Fernando Girón Tovar,Atures
Amazonas ,San Fernando de Atabapo,⚡ Disbattery 🔴,Ucata Laja Lisa,Atabapo
Anzoátegui ,Anaco,🌅 Oceano Pacifico 🟧,Anaco,Anaco
Anzoátegui ,Aragua de Barcelona,🌅 Oceano Pacifico 🟧,Cachipo,Aragua
Anzoátegui ,Barcelona,🌅 Oceano Pacifico 🟧,Bergantín,Simón Bolívar
Anzoátegui ,Boca de Uchire,🌅 Oceano Pacifico 🟧,Boca de Uchire,San Juan de Capistrano
Anzoátegui ,Cantaura,🌅 Oceano Pacifico 🟧,Cantaura,Freites
Anzoátegui ,Clarines,🌅 Oceano Pacifico 🟧,Chivacoa,Bruzual
Anzoátegui ,El Chaparro,🌅 Oceano Pacifico 🟧,General Sir Arthur McGregor,Sir Arthur McGregor
Anzoátegui ,El Pao Anzoátegui,🌅 Oceano Pacifico 🟧,San Mateo,Libertad
Anzoátegui ,El Tigre,🌅 Oceano Pacifico 🟧,Edmundo Barrios,Simón Rodríguez
Anzoátegui ,El Tigrito,🌅 Oceano Pacifico 🟧,San José de Guanipa,San José de Guanipa
Anzoátegui ,Guanape,🌅 Oceano Pacifico 🟧,Valle de Guanape,Francisco del Carmen Carvajal
Anzoátegui ,Guanta,🌅 Oceano Pacifico 🟧,Guanta,Guanta
Anzoátegui ,Lechería,🌅 Oceano Pacifico 🟧,Lechería,Diego Bautista Urbaneja
Anzoátegui ,Onoto,🌅 Oceano Pacifico 🟧,Onoto,Juan Manuel Cajigal
Anzoátegui ,Pariaguán,🌅 Oceano Pacifico 🟧,Atapirire,Francisco de Miranda
Anzoátegui ,Píritu,🌅 Oceano Pacifico 🟧,Píritu,Píritu
Anzoátegui ,Puerto La Cruz,🌅 Oceano Pacifico 🟧,Puerto La Cruz,Juan Antonio Sotillo
Anzoátegui ,Puerto Píritu,🌅 Oceano Pacifico 🟧,Puerto Píritu,Fernando de Peñalver
Anzoátegui ,Sabana de Uchire,🌅 Oceano Pacifico 🟧,Boca de Uchire,San Juan de Capistrano
Anzoátegui ,San Mateo Anzoátegui,🌅 Oceano Pacifico 🟧,San Mateo,Libertad
Anzoátegui ,San Pablo Anzoátegui,🌅 Oceano Pacifico 🟧,Mamo,Independencia
Anzoátegui ,San Tomé,🌅 Oceano Pacifico 🟧,San Tomé,Freites
Anzoátegui ,Santa Ana de Anzoátegui,🌅 Oceano Pacifico 🟧,Pueblo Nuevo,Santa Ana
Anzoátegui ,Santa Fe Anzoátegui,🌅 Oceano Pacifico 🟧,Santa Fe Anzoátegui,Freites
Anzoátegui ,Santa Rosa,🌅 Oceano Pacifico 🟧,San Mateo,Libertad
Anzoátegui ,Soledad,🌅 Oceano Pacifico 🟧,Mamo,Independencia
Anzoátegui ,Urica,🌅 Oceano Pacifico 🟧,San José de Guanipa,San José de Guanipa
Anzoátegui ,Valle de Guanape,🌅 Oceano Pacifico 🟧,Valle de Guanape,Francisco del Carmen Carvajal
Apure ,Achaguas,✨Blitz 2000🔵,Achaguas,Achaguas
Apure ,Biruaca,✨Blitz 2000🔵,Biruaca,Biruaca
Apure ,Bruzual,✨Blitz 2000🔵,Bruzual,Muñoz
Apure ,El Amparo,✨Blitz 2000🔵,Guasdualito,Páez
Apure ,El Nula,✨Blitz 2000🔵,Guasdualito,Páez
Apure ,Elorza,✨Blitz 2000🔵,Elorza,Rómulo Gallegos
Apure ,Guasdualito,✨Blitz 2000🔵,Guasdualito,Páez
Apure ,Mantecal,✨Blitz 2000🔵,Mantecal,Muñoz
Apure ,Puerto Páez,✨Blitz 2000🔵,San Juan de Payara,Pedro Camejo
Apure ,San Fernando de Apure,✨Blitz 2000🔵,San Fernando,San Fernando
Apure ,San Juan de Payara,✨Blitz 2000🔵,San Juan de Payara,Pedro Camejo
Aragua ,Barbacoas,🔷 Grupo Disbattery 🟦,Urdaneta,Urdaneta
Aragua ,Cagua,🔷 Grupo Disbattery 🟦,Cagua,Sucre
Aragua ,Camatagua,🔷 Grupo Disbattery 🟦,Camatagua,Camatagua
Aragua ,Choroní,🔷 Grupo Disbattery 🟦,El Baúl,Girardot
Aragua ,Colonia Tovar,🔷 Grupo Disbattery 🟦,Tovar,Tovar
Aragua ,El Consejo,🔷 Grupo Disbattery 🟦,José Rafael Revenga,José Rafael Revenga
Aragua ,La Victoria,🔷 Grupo Disbattery 🟦,José Félix Ribas,José Félix Ribas
Aragua ,Las Tejerías,🔷 Grupo Disbattery 🟦,Santos Michelena,Santos Michelena
Aragua ,Magdaleno,🔷 Grupo Disbattery 🟦,Palo Negro,Libertador
Aragua ,Maracay,🔷 Grupo Disbattery 🟦,El Baúl,Girardot
Aragua ,Ocumare de La Costa,🔷 Grupo Disbattery 🟦,Ocumare de la Costa,Ocumare de la Costa de Oro
